DL% UL%  Dled  Uled  Xfers  Live Total     Current  Left    Speed

--  --      0     0    12    12  --:--:-- --:--:-- --:--:--     0      
--  --      0     0    12    12  --:--:-- --:--:-- --:--:--     0      
--  --      0     0    12    12  --:--:--  0:00:01 --:--:--     0      
--  --  31745     0    12    12  --:--:--  0:00:01 --:--:-- 16646      
--  --  87745     0    12    12  --:--:--  0:00:02 --:--:-- 33580      
--  --   148k     0    12    12  --:--:--  0:00:03 --:--:-- 45969      
--  --   202k     0    12    12  --:--:--  0:00:03 --:--:-- 52092      
--  --   257k     0    12    12  --:--:--  0:00:04 --:--:-- 56464      
--  --   327k     0    12    12  --:--:--  0:00:05 --:--:-- 62709      
--  --   398k     0    12    12  --:--:--  0:00:06 --:--:-- 67507      
--  --   630k     0    12    12  --:--:--  0:00:06 --:--:--  108k      
  0 --  1801k     0    12    12  25:04:45  0:00:07 25:04:39  310k      
  0 --  3825k     0    12    12  11:43:07  0:00:07 11:43:01  663k      
  0 --  5879k     0    12    12   7:24:13  0:00:08  7:24:08 1050k      
  0 --  7903k     0    12    12   5:21:25  0:00:08  5:21:20 1451k      
  0 --   9.8M     0    12    12   4:04:12  0:00:09  4:04:07 1910k      
  0 --  12.7M     0    12    12   3:02:41  0:00:09  3:02:36 2554k      
  0 --  14.9M     0    12    12   2:30:51  0:00:10  2:30:46 3093k      
  0 --  17.0M     0    12    12   2:07:56  0:00:10  2:07:51 3647k      
  0 --  19.6M     0    12    12   1:51:09  0:00:11  1:51:04 4197k      
  0 --  22.9M     0    12    12   1:40:13  0:00:11  1:40:08 4655k      
  0 --  25.2M     0    12    12   1:38:18  0:00:12  1:38:12 4746k      
  0 --  27.4M     0    12    12   1:37:51  0:00:12  1:37:45 4768k      
  0 --  29.8M     0    12    12   1:36:04  0:00:13  1:35:58 4856k      
  0 --  32.3M     0    12    12   1:34:51  0:00:13  1:34:45 4918k      
  0 --  34.2M     0    12    12   1:40:06  0:00:14  1:39:59 4661k      
  0 --  36.5M     0    12    12   1:39:20  0:00:14  1:39:12 4697k      
  0 --  38.9M     0    12    12   1:37:28  0:00:15  1:37:20 4787k      
  0 --  41.3M     0    12    12   1:38:32  0:00:15  1:38:23 4735k      
  0 --  43.4M     0    12    12   1:43:35  0:00:16  1:43:25 4504k      
  0 --  46.2M     0    12    12   1:41:28  0:00:16  1:41:17 4598k      
  0 --  48.3M     0    12    12   1:41:52  0:00:17  1:41:41 4580k      
  0 --  50.2M     0    12    12   1:43:56  0:00:17  1:43:45 4489k      
  0 --  52.5M     0    12    12   1:44:19  0:00:18  1:44:07 4472k      
  0 --  54.8M     0    12    12   1:41:00  0:00:18  1:40:48 4619k      
  0 --  57.9M     0    12    12   1:37:19  0:00:19  1:37:07 4794k      
  0 --  60.2M     0    12    12   1:38:25  0:00:20  1:38:12 4740k      
  0 --  62.7M     0    12    12   1:38:00  0:00:20  1:37:47 4760k      
  0 --  65.2M     0    12    12   1:36:33  0:00:21  1:36:19 4832k      
  0 --  68.2M     0    12    12   1:35:12  0:00:21  1:34:58 4901k      
  0 --  70.8M     0    12    12   1:32:51  0:00:22  1:32:37 5025k      
  0 --  73.5M     0    12    12   1:30:22  0:00:22  1:30:07 5163k      
  0 --  76.5M     0    12    12   1:27:46  0:00:23  1:27:31 5316k      
  0 --  79.5M     0    12    12   1:25:14  0:00:23  1:24:59 5474k      
  0 --  82.4M     0    12    12   1:26:12  0:00:24  1:25:56 5412k      
  0 --  85.9M     0    12    12   1:21:49  0:00:24  1:21:34 5702k      
  0 --  88.8M     0    12    12   1:20:18  0:00:25  1:20:03 5810k      
  0 --  92.0M     0    12    12   1:18:11  0:00:25  1:17:55 5967k      
  0 --  95.4M     0    12    12   1:17:37  0:00:26  1:17:21 6011k      
  0 --  98.3M     0    12    12   1:17:04  0:00:26  1:16:48 6053k      
  0 --   101M     0    12    12   1:15:37  0:00:27  1:15:20 6170k      
  0 --   104M     0    12    12   1:15:04  0:00:27  1:14:47 6214k      
  0 --   107M     0    12    12   1:15:15  0:00:28  1:14:57 6200k      
  0 --   111M     0    12    12   1:13:36  0:00:28  1:13:18 6339k      
  0 --   114M     0    12    12   1:13:52  0:00:29  1:13:33 6316k      
  0 --   117M     0    12    12   1:13:05  0:00:29  1:12:47 6383k      
  0 --   121M     0    12    12   1:12:53  0:00:30  1:12:34 6401k      
  0 --   124M     0    12    12   1:13:46  0:00:30  1:13:26 6324k      
  0 --   126M     0    12    12   1:13:27  0:00:31  1:13:07 6351k      
  0 --   129M     0    12    12   1:14:07  0:00:31  1:13:46 6295k      
  0 --   132M     0    12    12   1:14:04  0:00:32  1:13:43 6298k      
  0 --   136M     0    12    12   1:13:29  0:00:32  1:13:07 6350k      
  0 --   138M     0    12    12   1:15:20  0:00:33  1:14:57 6194k      
  0 --   141M     0    12    12   1:17:02  0:00:33  1:16:38 6056k      
  0 --   145M     0    12    12   1:17:28  0:00:34  1:17:03 6023k      
  0 --   147M     0    12    12   1:20:13  0:00:34  1:19:47 5816k      
  0 --   150M     0    12    12   1:21:14  0:00:35  1:20:47 5744k      
  0 --   153M     0    12    12   1:21:48  0:00:36  1:21:21 5703k      
  0 --   156M     0    12    12   1:21:17  0:00:36  1:20:49 5739k      
  0 --   159M     0    12    12   1:22:18  0:00:37  1:21:49 5669k      
  0 --   162M     0    12    12   1:23:13  0:00:37  1:22:43 5607k      
  0 --   165M     0    12    12   1:22:12  0:00:38  1:21:42 5676k      
  0 --   169M     0    12    12   1:20:41  0:00:38  1:20:11 5782k      
  0 --   172M     0    12    12   1:20:02  0:00:39  1:19:31 5830k      
  0 --   176M     0    12    12   1:17:03  0:00:39  1:16:33 6056k      
  0 --   179M     0    12    12   1:15:55  0:00:40  1:15:25 6146k      
  0 --   179M     0    12    12   1:21:03  0:00:40  1:20:31 5756k      
  0 --   181M     0    12    12   1:26:07  0:00:41  1:25:33 5417k      
  0 --   183M     0    12    12   1:29:49  0:00:41  1:29:13 5194k      
  0 --   185M     0    12    12   1:31:26  0:00:42  1:30:48 5103k      
  0 --   189M     0    12    12   1:31:34  0:00:42  1:30:56 5095k      
  0 --   191M     0    12    12   1:33:38  0:00:43  1:32:59 4982k      
  0 --   195M     0    12    12   1:33:16  0:00:43  1:32:36 5002k      
  0 --   198M     0    12    12   1:33:43  0:00:44  1:33:02 4979k      
  0 --   202M     0    12    12   1:31:41  0:00:44  1:31:00 5089k      
  0 --   205M     0    12    12   1:21:44  0:00:45  1:21:07 5708k      
  0 --   208M     0    12    12   1:17:21  0:00:45  1:16:45 6032k      
  0 --   212M     0    12    12   1:13:16  0:00:46  1:12:42 6368k      
  0 --   215M     0    12    12   1:12:10  0:00:46  1:11:36 6465k      
  0 --   218M     0    12    12   1:12:29  0:00:47  1:11:54 6437k      
  0 --   221M     0    12    12   1:11:30  0:00:48  1:10:55 6525k      
  0 --   224M     0    12    12   1:11:11  0:00:48  1:10:36 6553k      
  0 --   228M     0    12    12   1:11:43  0:00:49  1:11:07 6505k      
  0 --   230M     0    12    12   1:13:19  0:00:49  1:12:42 6363k      
  0 --   233M     0    12    12   1:15:32  0:00:50  1:14:54 6176k      
  0 --   236M     0    12    12   1:15:15  0:00:50  1:14:36 6200k      
  0 --   239M     0    12    12   1:16:46  0:00:51  1:16:05 6078k      
  0 --   243M     0    12    12   1:15:28  0:00:51  1:14:48 6182k      
  0 --   246M     0    12    12   1:13:29  0:00:52  1:12:49 6349k      
  0 --   250M     0    12    12   1:13:11  0:00:52  1:12:31 6374k      
  0 --   253M     0    12    12   1:13:45  0:00:53  1:13:04 6326k      
  0 --   256M     0    12    12   1:13:47  0:00:53  1:13:06 6323k      
  0 --   259M     0    12    12   1:13:02  0:00:54  1:12:20 6389k      
  0 --   263M     0    12    12   1:12:11  0:00:54  1:11:29 6464k      
  0 --   266M     0    12    12   1:11:28  0:00:55  1:10:46 6528k      
  0 --   270M     0    12    12   1:10:17  0:00:55  1:09:35 6638k      
  1 --   273M     0    12    12   1:09:45  0:00:56  1:09:03 6689k      
  1 --   277M     0    12    12   1:09:53  0:00:56  1:09:10 6676k      
  1 --   281M     0    12    12   1:09:29  0:00:57  1:08:46 6714k      
