locus_tag,old_locus_tag,gcf_start,gca_start,diff_bp,diff_codons,frame_shift_flag
MA_RS00005,MA_0001,1510,1528,18,6.0,False
MA_RS00010,MA_0003,3805,3805,0,0.0,False
MA_RS00015,MA_0004,8134,8134,0,0.0,False
MA_RS00020,MA_0005,9375,9375,0,0.0,False
MA_RS00025,MA_0006,9571,9571,0,0.0,False
MA_RS00030,MA_0007,11359,11359,0,0.0,False
MA_RS00035,MA_0008,13031,13031,0,0.0,False
MA_RS00040,MA_0009,15084,15084,0,0.0,False
MA_RS00045,MA_0010,16337,16337,0,0.0,False
MA_RS00050,MA_0011,17538,17559,21,7.0,False
MA_RS00055,MA_0012,18310,18310,0,0.0,False
MA_RS00060,MA_0013,19551,19551,0,0.0,False
MA_RS00065,MA_0014,21523,21529,6,2.0,False
MA_RS00070,MA_0015,22783,22783,0,0.0,False
MA_RS00075,MA_0016,23492,23522,30,10.0,False
MA_RS00090,MA_0018,25197,25197,0,0.0,False
MA_RS00095,MA_0019,25854,25764,90,30.0,False
MA_RS00100,MA_0020,28098,28098,0,0.0,False
MA_RS00105,MA_0021,28677,28662,15,5.0,False
MA_RS00110,MA_0022,30256,30217,39,13.0,False
MA_RS00115,MA_0023,31065,31065,0,0.0,False
MA_RS00120,MA_0024,32254,32254,0,0.0,False
MA_RS00125,MA_0025,33066,33066,0,0.0,False
MA_RS00130,MA_0026,34650,34650,0,0.0,False
MA_RS00135,MA_0027,35473,35473,0,0.0,False
MA_RS00145,MA_0029,39249,39162,-87,-29.0,False
MA_RS00155,MA_0030,41054,41054,0,0.0,False
MA_RS00160,MA_0031,42199,42199,0,0.0,False
MA_RS00165,MA_0032,43407,43407,0,0.0,False
MA_RS00170,MA_0033,43667,43667,0,0.0,False
MA_RS00175,MA_0034,44212,44212,0,0.0,False
MA_RS00180,MA_0035,45743,45743,0,0.0,False
MA_RS00185,MA_0036,46686,46686,0,0.0,False
MA_RS00190,MA_0037,47351,47306,45,15.0,False
MA_RS00195,MA_0038,49629,49629,0,0.0,False
MA_RS00200,MA_0039,50071,50047,24,8.0,False
MA_RS00205,MA_0040,51146,51146,0,0.0,False
MA_RS00210,MA_0041,52826,52826,0,0.0,False
MA_RS00215,MA_0042,53371,53371,0,0.0,False
MA_RS00220,MA_0043,54803,54809,-6,-2.0,False
MA_RS00230,MA_0045,56958,56925,33,11.0,False
MA_RS00235,MA_0046,57569,57569,0,0.0,False
MA_RS00240,MA_0047,58313,58313,0,0.0,False
MA_RS00245,MA_0048,59191,59191,0,0.0,False
MA_RS00250,MA_0049,59484,59484,0,0.0,False
MA_RS00255,MA_0050,59888,59888,0,0.0,False
MA_RS00260,MA_0051,63327,63327,0,0.0,False
MA_RS00270,MA_0053,64281,64281,0,0.0,False
MA_RS00275,MA_0054,65547,65547,0,0.0,False
MA_RS00280,MA_0055,67382,67382,0,0.0,False
MA_RS00290,MA_0056,68403,68394,9,3.0,False
MA_RS00295,MA_0057,68676,68667,9,3.0,False
MA_RS00300,MA_0058,68950,68941,9,3.0,False
MA_RS00305,MA_0059,69214,69205,9,3.0,False
MA_RS00310,MA_0060,70403,70379,-24,-8.0,False
MA_RS00315,MA_0061,71146,71347,201,67.0,False
