locus_tag,old_locus_tag,current_start_pos,gca_start,gca_extension_valid,gca_extension_check_reason,blast_best_species_hit,blast_pident,rna_step_ratio,weak_evidence_exclude
MA_RS00005,MA_0001,1510,1528,False,候補位置のコドンが非正準(ATA),WP_048168916.1,99.275,1.11,True
MA_RS00145,MA_0029,39249,39162,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082089098.1,82.366,2.23,False
MA_RS00200,MA_0039,50071,50047,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048123961.1,87.633,0.93,False
MA_RS00220,MA_0043,54803,54809,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174355.1,94.903,1.65,False
MA_RS00310,MA_0060,70403,70379,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172513.1,32.609,0.86,False
MA_RS00325,MA_0063,72781,72823,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174365.1,97.638,1.13,False
MA_RS00400,MA_0077,89654,89765,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_197080313.1,84.337,0.85,False
MA_RS00595,MA_0114,139482,139518,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169091.1,95.156,1.3,False
MA_RS00685,MA_0130,156974,157013,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174393.1,97.297,1.19,False
MA_RS00825,MA_0155,187631,187514,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169178.1,90.745,0.71,False
MA_RS00870,MA_0163,193154,193196,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590271.1,95.95,25.53,False
MA_RS01025,MA_0190,228483,228474,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169233.1,94.231,1.03,False
MA_RS01130,MA_0211,256229,256109,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174404.1,79.545,0.96,False
MA_RS01195,MA_0222,269016,269097,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169276.1,80.456,1.48,False
MA_RS01215,MA_0226,273158,273161,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.74,True
MA_RS01220,MA_0227,273911,273887,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172513.1,32.609,0.94,False
MA_RS01350,MA_0253,307301,307205,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590317.1,92.334,1.01,False
MA_RS01390,MA_0261,316983,316962,False,候補位置のコドンが非正準(ATA),WP_048142533.1,88.434,1.12,True
MA_RS01520,MA_0286,345346,345436,False,候補位置のコドンが非正準(ATT),WP_231590320.1,95.618,1.18,True
MA_RS01850,MA_0351,419550,419610,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_082089262.1,91.118,1.48,False
MA_RS28285,MA_0353,422128,422053,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169490.1,74.59,1.19,False
MA_RS01895,MA_0360,427939,427930,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_197078808.1,77.66,0.75,False
MA_RS02000,MA_0381,447488,447362,False,候補位置のコドンが非正準(ATA),WP_082088841.1,95.266,1.29,True
MA_RS02310,MA_0441,521099,521090,False,候補位置のコドンが非正準(CTG),WP_048169558.1,90.159,1.28,True
MA_RS24975,MA_0446,526435,526483,False,候補位置のコドンが非正準(ATA),WP_275425597.1,63.158,0.88,True
MA_RS02395,MA_0458,537533,537539,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.16,True
