locus_tag,old_locus_tag,old_locus_tag_all,gene_name,gene_biotype,seqid,start,end,strand
MA_RS00005,MA0001,"MA0001,MA_0001",MA_RS00005,protein_coding,NC_003552.1,266,1510,-
MA_RS00010,MA0003,"MA0003,MA_0003",putP,protein_coding,NC_003552.1,3805,5349,+
MA_RS00015,MA0004,"MA0004,MA_0004",istB,protein_coding,NC_003552.1,7361,8134,-
MA_RS00020,MA0005,"MA0005,MA_0005",istA,protein_coding,NC_003552.1,8131,9375,-
MA_RS00025,MA0006,"MA0006,MA_0006",mfnA,protein_coding,NC_003552.1,9571,10758,+
MA_RS00030,MA0007,"MA0007,MA_0007",MA_RS00030,protein_coding,NC_003552.1,11359,12453,+
MA_RS00035,MA0008,"MA0008,MA_0008",MA_RS00035,protein_coding,NC_003552.1,13031,14572,+
MA_RS00040,MA0009,"MA0009,MA_0009",MA_RS00040,protein_coding,NC_003552.1,14788,15084,-
MA_RS00045,MA0010,"MA0010,MA_0010",fhcD,protein_coding,NC_003552.1,15444,16337,-
MA_RS00050,MA0011,"MA0011,MA_0011",MA_RS00050,protein_coding,NC_003552.1,17080,17538,-
MA_RS00055,MA0012,"MA0012,MA_0012",MA_RS00055,protein_coding,NC_003552.1,17684,18310,-
MA_RS00060,MA0013,"MA0013,MA_0013",MA_RS00060,protein_coding,NC_003552.1,18403,19551,-
MA_RS00065,MA0014,"MA0014,MA_0014",MA_RS00065,protein_coding,NC_003552.1,19622,21523,-
MA_RS00070,MA0015,"MA0015,MA_0015",MA_RS00070,protein_coding,NC_003552.1,21713,22783,-
MA_RS00075,MA0016,"MA0016,MA_0016",MA_RS00075,protein_coding,NC_003552.1,23127,23492,-
MA_RS26355,,,MA_RS26355,protein_coding,NC_003552.1,24658,25065,+
MA_RS00090,MA0018,"MA0018,MA_0018",MA_RS00090,protein_coding,NC_003552.1,25197,25577,+
MA_RS00095,MA0019,"MA0019,MA_0019",MA_RS00095,protein_coding,NC_003552.1,25854,27983,+
MA_RS00100,MA0020,"MA0020,MA_0020",MA_RS00100,protein_coding,NC_003552.1,28098,28652,+
MA_RS00105,MA0021,"MA0021,MA_0021",MA_RS00105,protein_coding,NC_003552.1,28677,30131,+
MA_RS00110,MA0022,"MA0022,MA_0022",MA_RS00110,protein_coding,NC_003552.1,30256,30723,+
MA_RS00115,MA0023,"MA0023,MA_0023",MA_RS00115,protein_coding,NC_003552.1,31065,32102,+
MA_RS00120,MA0024,"MA0024,MA_0024",MA_RS00120,protein_coding,NC_003552.1,32254,33018,+
MA_RS00125,MA0025,"MA0025,MA_0025",MA_RS00125,protein_coding,NC_003552.1,33066,33890,+
MA_RS00130,MA0026,"MA0026,MA_0026",MA_RS00130,protein_coding,NC_003552.1,34650,35105,+
MA_RS00135,MA0027,"MA0027,MA_0027",MA_RS00135,protein_coding,NC_003552.1,35473,36759,+
MA_RS00145,MA0029,"MA0029,MA_0029",MA_RS00145,protein_coding,NC_003552.1,37882,39249,-
MA_RS00155,MA0030,"MA0030,MA_0030",MA_RS00155,protein_coding,NC_003552.1,40272,41054,-
MA_RS00160,MA0031,"MA0031,MA_0031",porB,protein_coding,NC_003552.1,41309,42199,-
MA_RS00165,MA0032,"MA0032,MA_0032",porA,protein_coding,NC_003552.1,42196,43407,-
MA_RS00170,MA0033,"MA0033,MA_0033",porD,protein_coding,NC_003552.1,43407,43667,-
MA_RS00175,MA0034,"MA0034,MA_0034",MA_RS00175,protein_coding,NC_003552.1,43664,44212,-
MA_RS00180,MA0035,"MA0035,MA_0035",dusB,protein_coding,NC_003552.1,44772,45743,-
MA_RS00185,MA0036,"MA0036,MA_0036",MA_RS00185,protein_coding,NC_003552.1,46129,46686,-
MA_RS00190,MA0037,"MA0037,MA_0037",MA_RS00190,protein_coding,NC_003552.1,47351,49258,+
MA_RS00195,MA0038,"MA0038,MA_0038",MA_RS00195,protein_coding,NC_003552.1,49629,50060,+
MA_RS00200,MA0039,"MA0039,MA_0039",MA_RS00200,protein_coding,NC_003552.1,50071,50922,+
MA_RS00205,MA0040,"MA0040,MA_0040",twy1,protein_coding,NC_003552.1,51146,52183,+
MA_RS00210,MA0041,"MA0041,MA_0041",MA_RS00210,protein_coding,NC_003552.1,52548,52826,-
MA_RS00215,MA0042,"MA0042,MA_0042",prf1,protein_coding,NC_003552.1,53371,54618,+
MA_RS00220,MA0043,"MA0043,MA_0043",argS,protein_coding,NC_003552.1,54803,56512,+
