locus_tag,old_locus_tag,reclassification,rna_step_ratio,depth_at_current,depth_70bp,depth_150bp,depth_300bp,rise_onset_distance,nearest_neighbor_locus,nearest_neighbor_dist,impact_note
MA_RS00795,MA_0150,アーティファクト,15.86,1579.0,917.7,6.6,33.9,300,MA_RS00790,1713,既存のアーティファクト判定と整合的(むしろ追加の傍証)。分類への影響なし。
MA_RS28080,,アーティファクト,32.19,14726.2,8166.6,64.6,479.9,300,MA_RS09015,722,既存のアーティファクト判定と整合的(むしろ追加の傍証)。分類への影響なし。
MA_RS02100,MA_0399,判断保留,3.18,261.3,11.9,56.9,132.3,150,MA_RS02105,914,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS03935,MA_0753,判断保留,4.15,142.4,25.1,48.5,172.8,150,MA_RS26505,1131,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS05250,MA_1004,判断保留,4.23,186.0,11.9,3.0,15.7,300,MA_RS05240,1477,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS06415,MA_1234,判断保留,7.11,21.2,1.0,3.0,5.0,150,MA_RS29305,650,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS08060,MA_1553,判断保留,4.32,947.9,86.5,10.9,100.4,300,MA_RS08065,985,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS10510,MA_2020,判断保留,3.55,249.7,6.0,16.3,417.3,150,MA_RS10505,699,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS10945,MA_2108,判断保留,3.05,451.3,79.2,78.3,772.6,300,MA_RS10950,937,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS12145,MA_2343,判断保留,3.09,54.4,19.7,32.1,163.4,150,MA_RS12140,739,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS14355,,判断保留,4.15,863.9,73.0,82.7,229.5,300,MA_RS14360,769,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS17265,MA_3305,判断保留,7.78,317.5,10.4,288.9,1428.5,150,MA_RS17270,315,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS20995,MA_4023,判断保留,9.44,164.6,3.5,18.6,102.5,150,MA_RS27615,792,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS24755,MA_3293,判断保留,26.82,1182.9,22.6,41.4,703.5,150,MA_RS17175,1006,判断保留のまま(Task Aのreevaluationで個別に反映済み)。
MA_RS07220,MA_1393,真の代替候補,7.73,2567.5,152.3,365.9,314.8,150,MA_RS07225,1092,既存判定は維持(位置一致・BLAST根拠は不変)だが、遠方カバレッジの根拠(「広く転写されている」との解釈)は撤回。近傍の未知の転写物/アンチセンスの影響を受けている可能性を付記。
MA_RS17800,,真の代替候補,5.92,5632.8,512.5,1058.2,1447.2,150,MA_RS17805,704,既存判定は維持(位置一致・BLAST根拠は不変)だが、遠方カバレッジの根拠(「広く転写されている」との解釈)は撤回。近傍の未知の転写物/アンチセンスの影響を受けている可能性を付記。
MA_RS21155,MA_4053,真の代替候補,4.24,447.2,150.3,170.5,409.1,300,MA_RS21150,1106,既存判定は維持(位置一致・BLAST根拠は不変)だが、遠方カバレッジの根拠(「広く転写されている」との解釈)は撤回。近傍の未知の転写物/アンチセンスの影響を受けている可能性を付記。
MA_RS22175,MA_4247,真の代替候補,7.53,414.5,18.6,40.7,5.8,150,MA_RS22170,1381,既存判定は維持(位置一致・BLAST根拠は不変)だが、遠方カバレッジの根拠(「広く転写されている」との解釈)は撤回。近傍の未知の転写物/アンチセンスの影響を受けている可能性を付記。
