locus_tag,old_locus_tag,final_classification_before,gca_start,gca_agrees_with,revised_confidence,note
MA_RS00795,MA_0150,アーティファクト,178886,現行(GCF)と一致,アーティファクト,GCAはBLAST/RNA候補と一致せず、アーティファクト判定を維持
MA_RS02100,MA_0399,判断保留,481978,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS02285,MA_0436,判断保留,516193,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS03285,,判断保留,,GCA比較不可,判断保留,GCA比較不可(GCA側にマッチする遺伝子なし)
MA_RS03935,MA_0753,判断保留,873477,RNA-seqと一致,中確信度相当(GCA旧アノテーションがRNA-seq候補と一致、決着提案),GCAがRNA-seq候補と一致したため決着を提案
MA_RS03995,MA_0764,判断保留,897175,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS05250,MA_1004,判断保留,1198131,現行(GCF)と一致,判断保留,GCAはRNA-seq/BLASTいずれとも異なる第3候補、または現行と一致。判断保留を維持
MA_RS06415,MA_1234,判断保留,1468138,現行(GCF)と一致,判断保留,GCAはRNA-seq/BLASTいずれとも異なる第3候補、または現行と一致。判断保留を維持
MA_RS07220,MA_1393,真の代替候補,1659940,現行(GCF)と一致,真の代替候補,GCA一致状況: 現行(GCF)と一致(既存分類を維持)
MA_RS07375,MA_1421,アーティファクト,1689646,BLASTと一致,アーティファクト,要再検討(両論併記): GCAはBLASTと一致。既存のアーティファクト判定理由(反復配列/減衰テール等)と矛盾しないか要確認
MA_RS26685,,アーティファクト,,GCA比較不可,アーティファクト,GCA比較不可(GCA側にマッチする遺伝子なし)
MA_RS08060,MA_1553,判断保留,1836459,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS28080,,アーティファクト,,GCA比較不可,アーティファクト,GCA比較不可(GCA側にマッチする遺伝子なし)
MA_RS10430,MA_2003,判断保留,2485734,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS10510,MA_2020,判断保留,2508815,いずれとも異なる(第3の候補),判断保留,GCAはRNA-seq/BLASTいずれとも異なる第3候補、または現行と一致。判断保留を維持
MA_RS10945,MA_2108,判断保留,2613135,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS12145,MA_2343,判断保留,2882394,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS12405,MA_2391,アーティファクト,2961250,BLASTと一致,アーティファクト,要再検討(両論併記): GCAはBLASTと一致。既存のアーティファクト判定理由(反復配列/減衰テール等)と矛盾しないか要確認
MA_RS14010,,判断保留,,GCA比較不可,判断保留,GCA比較不可(GCA側にマッチする遺伝子なし)
MA_RS14355,,判断保留,,GCA比較不可,判断保留,GCA比較不可(GCA側にマッチする遺伝子なし)
MA_RS15470,MA_2951,真の代替候補,3684331,BLASTと一致,真の代替候補,GCA一致状況: BLASTと一致(既存分類を維持)
MA_RS16705,MA_3198,判断保留,3958609,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS17095,MA_3276,判断保留,4042077,RNA-seqと一致,中確信度相当(GCA旧アノテーションがRNA-seq候補と一致、決着提案),GCAがRNA-seq候補と一致したため決着を提案
MA_RS24755,MA_3293,判断保留,4062850,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS17265,MA_3305,判断保留,4079810,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS17800,,真の代替候補,,GCA比較不可,真の代替候補,GCA比較不可(GCA側にマッチする遺伝子なし)
MA_RS20445,MA_3916,判断保留,4815179,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS20995,MA_4023,判断保留,4936904,現行(GCF)と一致,判断保留,GCAはRNA-seq/BLASTいずれとも異なる第3候補、または現行と一致。判断保留を維持
MA_RS21155,MA_4053,真の代替候補,4972792,BLASTと一致,真の代替候補,GCA一致状況: BLASTと一致(既存分類を維持)
MA_RS22115,MA_4235,中確信度相当(格上げ),5160132,いずれとも異なる(第3の候補),中確信度相当(格上げ),GCA一致状況: いずれとも異なる(第3の候補)(既存分類を維持)
MA_RS22175,MA_4247,真の代替候補,5170253,BLASTと一致,真の代替候補,GCA一致状況: BLASTと一致(既存分類を維持)
MA_RS23000,MA_4400,真の代替候補,5434163,BLASTと一致,真の代替候補,GCA一致状況: BLASTと一致(既存分類を維持)
MA_RS23395,MA_4483,判断保留,5531660,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS24130,MA_4624,判断保留,5705863,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
