locus_tag,old_locus_tag,current_start_pos,gca_start,gca_extension_valid,gca_extension_check_reason,blast_best_species_hit,blast_pident,rna_step_ratio,weak_evidence_exclude,blast_pident_at_gca,blast_qstart_at_gca,rna_step_ratio_at_gca,orf_valid_at_gca,orf_note,reclassification
MA_RS00145,MA_0029,39249,39162,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082089098.1,82.366,2.23,False,82.569,1,1.44,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS00200,MA_0039,50071,50047,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048123961.1,87.633,0.93,False,87.633,9,1.04,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS00220,MA_0043,54803,54809,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174355.1,94.903,1.65,False,,,1.7,False,候補位置のコドンが非正準(CTG),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS00310,MA_0060,70403,70379,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172513.1,32.609,0.86,False,32.609,13,0.94,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS00325,MA_0063,72781,72823,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174365.1,97.638,1.13,False,97.638,15,0.84,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS00400,MA_0077,89654,89765,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_197080313.1,84.337,0.85,False,84.068,1,0.91,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS00595,MA_0114,139482,139518,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169091.1,95.156,1.3,False,94.946,1,0.93,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS00685,MA_0130,156974,157013,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174393.1,97.297,1.19,False,96.997,14,1.41,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS00825,MA_0155,187631,187514,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169178.1,90.745,0.71,False,90.347,1,1.32,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS00870,MA_0163,193154,193196,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590271.1,95.95,25.53,False,95.765,1,1.53,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS01025,MA_0190,228483,228474,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169233.1,94.231,1.03,False,94.231,4,1.0,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS01130,MA_0211,256229,256109,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174404.1,79.545,0.96,False,78.414,1,0.84,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS01195,MA_0222,269016,269097,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169276.1,80.456,1.48,False,80.456,28,0.51,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS01220,MA_0227,273911,273887,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172513.1,32.609,0.94,False,32.609,13,1.01,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS01350,MA_0253,307301,307205,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590317.1,92.334,1.01,False,93.173,1,0.85,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS01850,MA_0351,419550,419610,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_082089262.1,91.118,1.48,False,90.789,21,1.6,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS28285,MA_0353,422128,422053,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169490.1,74.59,1.19,False,88.776,2,1.04,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS01895,MA_0360,427939,427930,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_197078808.1,77.66,0.75,False,,,0.99,False,候補位置のコドンが非正準(ATC),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS02405,MA_0460,539017,539029,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169591.1,93.916,1.71,False,,,1.76,False,候補位置のコドンが非正準(CTG),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS02480,MA_0474,554618,554684,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_148704756.1,96.786,1.27,False,96.296,1,1.46,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS02505,MA_0480,561176,561200,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231590368.1,87.692,1.12,False,87.692,9,1.15,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS02590,MA_0497,582219,582003,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590375.1,96.842,1.12,False,96.802,1,0.89,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS02785,MA_0531,620098,620089,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169688.1,97.959,1.19,False,96.939,4,1.33,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS02930,MA_0557,655226,655538,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082089107.1,76.944,0.82,False,,,1.17,False,候補位置のコドンが非正準(CTG),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS03005,MA_0572,676154,676187,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048142198.1,81.884,1.25,False,83.065,4,0.98,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS03020,MA_0575,678843,678825,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169753.1,96.711,1.12,False,96.711,7,1.15,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS03465,MA_0659,776411,776384,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231590392.1,93.379,0.98,False,92.841,1,1.32,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS03480,MA_0662,779151,779127,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169919.1,98.049,0.72,False,98.049,9,0.84,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS03485,MA_0663,779770,779761,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169921.1,98.98,0.84,False,98.98,4,0.93,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS03490,MA_0664,780362,780353,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_315968705.1,93.487,1.07,False,93.103,4,1.04,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS03530,MA_0672,787450,787438,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_226990742.1,100.0,4.92,False,100.0,1,2.62,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS03960,MA_0758,877867,877963,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170070.1,83.73,1.39,False,83.89,2,0.95,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS04100,MA_0783,917382,917292,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170117.1,95.467,0.88,False,95.072,1,1.34,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS04340,MA_0833,972226,972235,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048170201.1,96.853,0.7,False,96.853,4,0.64,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS04395,MA_0843,982633,982543,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048120112.1,89.937,1.03,False,89.937,31,0.98,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS04465,MA_0857,1015928,1015874,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170225.1,94.953,1.49,False,94.971,1,1.08,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS04485,MA_0861,1021908,1021878,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048170233.1,60.403,0.71,False,60.403,19,1.03,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS04535,MA_0871,1035734,1035809,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174493.1,96.762,0.72,False,96.762,26,0.92,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS04580,MA_0880,1050588,1050570,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590409.1,94.718,0.92,False,94.245,1,0.95,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS04685,MA_0902,1080471,1080450,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_011033947.1,96.667,1.06,False,96.262,7,1.15,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS04845,MA_0934,1113955,1113961,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048039218.1,91.667,0.52,False,91.667,3,0.51,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS04940,MA_0950,1130084,1130081,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170364.1,96.591,1.08,False,,,1.09,False,候補位置のコドンが非正準(ATC),現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
MA_RS05080,MA_0975,1165686,1165692,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170477.1,96.491,2.94,False,96.711,1,2.85,True,妥当,中確信度相当に格上げ(新規証拠の片方のみがGCA提案位置を支持)
MA_RS05090,MA_0977,1167535,1167553,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048120548.1,92.537,1.2,False,97.233,10,1.19,True,妥当,現行アノテーションを支持のまま(新規証拠はGCA提案位置を支持せず)
