locus_tag,old_locus_tag,rna_step_ratio,current_start_pos,current_codon,rna_best_pos,rna_best_codon,blast_supported_pos,blast_supported_codon,blast_pident,blast_qstart_aa,depth_at_current,depth_at_rna_best,depth_at_blast,depth_70bp_further,reclassification,comment,reevaluation,reevaluation_comment
MA_RS10430,MA_2003,159.66,2485674,ATG,2485704,TTG,2485734,ATG,97.799,21,4440.5,48.4,5.0,1.5,判断保留,現行開始からRNA候補までの深度は1.1%まで単調減衰(明確な新規ピークではない)。BLASTが支持するさらに30bp上流の位置は深度5とほぼ皆無で、BLAST同一性は97.8%と高いにもかかわらず転写証拠を欠く。上流への延長自体は両者が示唆するが、具体的にどこまでかは決められない。,判断保留のまま,候補位置の残存深度が現行の1.1%と薄く、単調減衰テールの一部である可能性を否定できない。
MA_RS20445,MA_3916,106.09,4815215,ATG,4815206,GTG,4815179,ATG,96.491,13,597.2,48.4,4.0,3.2,判断保留,RNA候補位置(現行から9bp)には深度48(8.1%)の残存シグナルがあるが、BLASTが支持するさらに27bp先の位置は深度4でほぼ無転写。BLAST同一性96.5%は高く偽陽性とも考えにくく、両候補のどちらとも決めがたい。,対象外(BLASTは一定の独立証拠を持つ),"BLAST qstart=13・同一性96.491%は「真の代替候補」群の実測範囲(qstart<=19, pident>=86.5%)からは外れないか際どく、RNA単独証拠への格下げは行わない。RNA-BLAST間の位置不一致(4815179 vs 4815206)自体が保留理由。"
MA_RS03995,MA_0764,37.08,897256,TTG,897241,ATG,897175,TTG,87.368,3,190.0,7.2,3.0,3.2,判断保留,RNA深度は現行の3.8%、70bp先で44%。BLAST支持位置とは66bp差(同一性87.4%、qstart=3)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,対象外(BLASTは一定の独立証拠を持つ),"BLAST qstart=3・同一性87.368%は「真の代替候補」群の実測範囲(qstart<=19, pident>=86.5%)からは外れないか際どく、RNA単独証拠への格下げは行わない。RNA-BLAST間の位置不一致(897175 vs 897241)自体が保留理由。"
MA_RS24755,MA_3293,26.82,4062907,ATG,4062862,TTG,4062850,ATG,46.972,99,1182.9,190.1,24.1,18.0,判断保留,BLASTのqstart=99・同一性47.0%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の16.1%(70bp先で9%まで減衰)。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS17175, 1006bp先)に到達するよりかなり手前の150bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS16705,MA_3198,14.92,3958639,ATG,3958624,GTG,3958609,TTG,96.52,11,2028.8,212.5,121.7,77.9,判断保留,RNA深度は現行の10.5%、70bp先で37%。BLAST支持位置とは15bp差(同一性96.5%、qstart=11)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,対象外(BLASTは一定の独立証拠を持つ),"BLAST qstart=11・同一性96.52%は「真の代替候補」群の実測範囲(qstart<=19, pident>=86.5%)からは外れないか際どく、RNA単独証拠への格下げは行わない。RNA-BLAST間の位置不一致(3958609 vs 3958624)自体が保留理由。"
MA_RS22115,MA_4235,11.18,5160168,TTG,5160159,TTG,5160090,GTG,95.319,27,947.6,538.1,12.4,12.3,判断保留,RNA深度は現行の56.8%、70bp先で2%。BLAST支持位置とは69bp差(同一性95.3%、qstart=27)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,中確信度相当に格上げ,現行開始からわずか9bp先の候補位置でも深度538(現行の56.8%)が残り、その70bp先では12(2%)まで明瞭に崩落する鋭いステップ。current+70/150/300bpの拡張プロファイルでも早期の説明不能な再上昇は見られない。BLASTが不一致なのはBLAST側の根拠が弱いため(qstart=27)であり、RNA-seq証拠自体は他の「中確信度」群と同等以上に明瞭。
MA_RS20995,MA_4023,9.44,4936904,ATG,4936928,TTG,4936991,TTG,80.06,30,164.6,13.0,2.0,1.3,判断保留,現行開始から候補位置にかけて深度が7.9%まで単調減衰しており、独立した新規ピークというより自身の転写境界の減衰テールに見える。BLAST支持位置とは63bp離れており一致しない(同一性80.1%、qstart=30)。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS27615, 792bp先)に到達するよりかなり手前の150bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。"
MA_RS02285,MA_0436,8.91,516253,ATG,516199,ATG,516193,GTG,95.468,21,1431.3,30.5,25.1,28.7,判断保留,RNA深度は現行の2.1%、70bp先で94%。BLAST支持位置とは6bp差(同一性95.5%、qstart=21)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,候補位置の残存深度が現行の2.1%と薄く、単調減衰テールの一部である可能性を否定できない。70bp先でも深度が候補位置の94%残っており、明瞭な単一ステップと言うより広い低レベル領域に見える。
MA_RS03285,,8.43,736513,ATG,736555,TTG,736660,ATG,83.951,41,1461.3,166.6,85.8,82.8,判断保留,RNA深度は現行の11.4%、70bp先で50%。BLAST支持位置とは105bp差(同一性84.0%、qstart=41)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,判断保留のまま,候補位置の残存深度が現行の11.4%と薄く、単調減衰テールの一部である可能性を否定できない。
MA_RS24130,MA_4624,8.22,5705824,ATG,5705851,TTG,5705863,GTG,83.529,14,597.9,56.6,37.2,1.0,判断保留,現行開始から候補位置にかけて深度が9.5%まで単調減衰しており、独立した新規ピークというより自身の転写境界の減衰テールに見える。BLAST支持位置とは12bp近接するが(同一性83.5%、qstart=14)。,判断保留のまま,70bp先で深度1.0(1.8%)まで崩落しBLASTより手前の判断は妥当に見えるが、候補位置自体の残存シグナルが9.5%とやや薄く、他の「中確信度」群の典型例ほど明瞭なステップとは言い切れない。格上げの次点として記録するが、今回は見送る。
