locus_tag,old_locus_tag,current_start_pos,single_evidence_source,single_evidence_pos,gca_start,gca_agrees_with,revised_confidence
MA_RS00050,MA_0011,17538,BLAST,17559,17559,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00065,MA_0014,21523,BLAST,21529,21529,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00075,MA_0016,23492,BLAST,23522,23522,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00095,MA_0019,25854,BLAST,25764,25764,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00105,MA_0021,28677,BLAST,28662,28662,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00110,MA_0022,30256,BLAST,30217,30217,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00190,MA_0037,47351,BLAST,47306,47306,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00290,MA_0056,68403,BLAST,68286,68394,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS00295,MA_0057,68676,BLAST,68667,68667,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00300,MA_0058,68950,BLAST,68941,68941,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00305,MA_0059,69214,BLAST,69205,69205,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00315,MA_0061,71146,BLAST,71347,71347,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00355,MA_0069,80597,BLAST,80603,80603,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00380,MA_0074,85487,BLAST,85394,85394,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00390,MA_0076,88183,BLAST,88156,88156,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24315,MA_0079,92000,BLAST,91916,91916,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00420,MA_0081,97563,BLAST,97554,97659,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS00430,MA_0084,104516,BLAST,104570,104570,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00445,MA_0087,109126,BLAST,109117,109117,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00450,MA_0088,110763,BLAST,110727,110727,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00455,MA_0089,112200,BLAST,112209,112209,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00535,MA_0102,127336,BLAST,127318,127318,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00545,MA_0103,129463,BLAST,129547,129547,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00560,MA_0106,132513,BLAST,132456,132456,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00570,MA_0108,135133,BLAST,135106,135106,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00615,MA_0118,143543,BLAST,143546,143546,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00620,MA_0119,144711,BLAST,144741,144741,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00630,MA_0120,146253,BLAST,146262,146379,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS00640,MA_0122,147571,BLAST,147568,147568,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00655,MA_0125,151346,BLAST,151304,151394,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS00735,MA_0140,167353,BLAST,167344,167344,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00845,MA_0158,189736,BLAST,189727,189727,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00880,MA_0164,195154,BLAST,195166,195166,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00910,MA_0168,201678,BLAST,201729,201729,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00955,MA_0176,211183,BLAST,211216,211216,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00960,MA_0177,211761,BLAST,211770,211770,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS00965,MA_0178,212391,BLAST,212475,212475,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01010,MA_0187,221645,BLAST,221636,221636,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01050,MA_0195,236253,BLAST,236421,236421,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01090,MA_0203,243156,BLAST,243126,243126,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01100,MA_0205,249118,BLAST,249106,249106,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01125,MA_0210,255385,BLAST,255406,255406,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24335,MA_0225,271766,BLAST,271721,271721,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01225,MA_0228,274729,BLAST,274744,274654,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS01335,MA_0250,302484,BLAST,302505,302505,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01355,MA_0254,308860,BLAST,308869,308845,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS01385,MA_0260,315578,BLAST,315515,315515,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01395,MA_0262,319666,BLAST,319696,319696,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01510,MA_0284,341950,BLAST,341980,341980,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01535,MA_0289,348379,BLAST,348361,348361,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01550,MA_0292,350108,BLAST,350114,350114,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01560,MA_0294,350802,BLAST,350796,350796,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01565,MA_0295,351805,BLAST,351772,351772,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01605,MA_0303,361289,BLAST,361292,361292,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01620,MA_0304,362830,BLAST,362731,362797,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS01650,MA_0310,369250,BLAST,369238,369238,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01655,MA_0311,370777,BLAST,370756,370756,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01670,MA_0314,374464,BLAST,374584,374584,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01710,MA_0322,380837,BLAST,380852,380852,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS01745,MA_0329,386206,BLAST,386218,386200,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS01750,MA_0330,386826,BLAST,386841,386841,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
