# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "locus_tag" "-a" "/home/nyako/projects/ProteinHunter/data/databases/target/methanosarcina_acetivorans/ncbi_dataset/data/GCF_000007345.1/genomic.gff" "-o" "counts/counts_new5.txt" "-T" "8" "bam/SRR20281612.sorted.bam" "bam/SRR20281613.sorted.bam" "bam/SRR20650029.sorted.bam" "bam/SRR20650030.sorted.bam" "bam/SRR20650031.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR20281612.sorted.bam	bam/SRR20281613.sorted.bam	bam/SRR20650029.sorted.bam	bam/SRR20650030.sorted.bam	bam/SRR20650031.sorted.bam
MA_RS00005	NC_003552.1	266	1510	-	1245	10509	11093	1443	802	905
MA_RS00010	NC_003552.1	3805	5349	+	1545	1496	1140	182	92	72
MA_RS00015	NC_003552.1	7361	8134	-	774	150	121	15	19	10
MA_RS00020	NC_003552.1	8131	9375	-	1245	2752	1768	30	31	31
MA_RS00025	NC_003552.1	9571	10758	+	1188	2277	2139	882	525	560
MA_RS00030	NC_003552.1	11359	12453	+	1095	3560	3100	3947	2238	2471
MA_RS00035	NC_003552.1	13031	14572	+	1542	7568	6927	3111	1790	1967
MA_RS00040	NC_003552.1	14788	15084	-	297	364	302	18	5	11
MA_RS00045	NC_003552.1	15444	16337	-	894	2718	2831	1099	749	751
MA_RS00050	NC_003552.1	17080	17538	-	459	796	702	39	28	41
MA_RS00055	NC_003552.1	17684	18310	-	627	749	693	29	38	25
MA_RS00060	NC_003552.1	18403	19551	-	1149	529	649	70	54	50
MA_RS00065	NC_003552.1	19622	21523	-	1902	838	742	73	51	52
MA_RS00070	NC_003552.1	21713	22783	-	1071	1345	1410	30	39	18
MA_RS00075	NC_003552.1	23127	23492	-	366	1774	1194	6	5	5
MA_RS26355	NC_003552.1	24658	25065	+	408	591	358	23	13	6
MA_RS00090	NC_003552.1	25197	25577	+	381	2722	2541	235	106	110
MA_RS00095	NC_003552.1	25854	27983	+	2130	7437	7170	844	616	499
MA_RS00100	NC_003552.1	28098	28652	+	555	1229	1073	156	54	87
MA_RS00105	NC_003552.1	28677	30131	+	1455	1161	959	95	61	45
MA_RS00110	NC_003552.1	30256	30723	+	468	795	764	5356	3011	3340
MA_RS00115	NC_003552.1	31065	32102	+	1038	1165	1293	8694	5316	5400
MA_RS00120	NC_003552.1	32254	33018	+	765	1932	2069	5084	2484	3006
MA_RS00125	NC_003552.1	33066	33890	+	825	1446	1045	2740	1124	1451
MA_RS00130	NC_003552.1	34650	35105	+	456	724	599	1519	1693	1492
MA_RS00135	NC_003552.1	35473	36759	+	1287	137	75	40	16	16
MA_RS00145	NC_003552.1	37882	39249	-	1368	6298	5785	111	101	78
MA_RS00155	NC_003552.1	40272	41054	-	783	2706	2354	185	270	167
MA_RS00160	NC_003552.1	41309	42199	-	891	2758	2710	1581	698	1203
MA_RS00165	NC_003552.1	42196	43407	-	1212	5254	5518	8517	4467	6162
MA_RS00170	NC_003552.1	43407	43667	-	261	228	260	190	133	128
MA_RS00175	NC_003552.1	43664	44212	-	549	2158	2445	801	585	649
MA_RS00180	NC_003552.1	44772	45743	-	972	1347	1244	247	197	169
MA_RS00185	NC_003552.1	46129	46686	-	558	3429	2706	279	255	169
MA_RS00190	NC_003552.1	47351	49258	+	1908	5300	4630	1430	770	949
MA_RS00195	NC_003552.1	49629	50060	+	432	1751	1535	262	216	193
MA_RS00200	NC_003552.1	50071	50922	+	852	1820	1557	123	95	61
MA_RS00205	NC_003552.1	51146	52183	+	1038	3566	4084	477	322	398
MA_RS00210	NC_003552.1	52548	52826	-	279	13807	9984	1059	741	626
MA_RS00215	NC_003552.1	53371	54618	+	1248	20396	15694	1827	953	1244
MA_RS00220	NC_003552.1	54803	56512	+	1710	17748	15123	2279	1181	1479
MA_RS00230	NC_003552.1	56958	57329	+	372	3340	2506	309	354	278
MA_RS00235	NC_003552.1	57569	58264	+	696	1575	1539	64	33	46
MA_RS00240	NC_003552.1	58313	59023	+	711	897	788	40	40	58
MA_RS00245	NC_003552.1	59191	59415	+	225	206	117	0	0	6
MA_RS00250	NC_003552.1	59484	59735	+	252	426	301	6	11	0
MA_RS00255	NC_003552.1	59888	61279	+	1392	1566	1190	216	215	222
MA_RS00260	NC_003552.1	61555	63327	-	1773	1442	1682	364	310	288
MA_RS00270	NC_003552.1	64281	65324	+	1044	2328	2048	385	252	357
MA_RS00275	NC_003552.1	65547	66581	+	1035	1269	1061	473	300	302
MA_RS00280	NC_003552.1	67212	67382	-	171	737	711	4	6	2
MA_RS00285	NC_003552.1	67779	67852	-	74	38	12	11	7	2
MA_RS00290	NC_003552.1	68403	68609	+	207	23557	13061	1260	1329	901
MA_RS00295	NC_003552.1	68676	68882	+	207	4804	2956	102	99	57
MA_RS00300	NC_003552.1	68950	69156	+	207	12227	12247	708	311	394
MA_RS00305	NC_003552.1	69214	69420	+	207	30979	18987	1499	1001	1215
MA_RS26360	NC_003552.1	69507	69650	-	144	580	445	68	92	50
MA_RS00310	NC_003552.1	69654	70403	-	750	140	132	13	6	2
MA_RS00315	NC_003552.1	70391	71146	-	756	190	189	42	50	28
MA_RS00320	NC_003552.1	71483	71908	+	426	1705	1135	201	129	105
MA_RS00325	NC_003552.1	72017	72781	-	765	1619	1539	270	165	182
MA_RS00330	NC_003552.1	72783	73571	-	789	3038	2295	937	517	482
MA_RS00335	NC_003552.1	73710	74723	-	1014	6956	8746	767	430	407
MA_RS00345	NC_003552.1	75144	75665	+	522	1682	1459	90	122	72
MA_RS00350	NC_003552.1	75866	79369	-	3504	54675	47328	19318	11368	13025
MA_RS00355	NC_003552.1	79587	80597	-	1011	10134	9476	2035	1231	1246
MA_RS00365	NC_003552.1	81193	81987	-	795	4507	3991	375	152	322
MA_RS00370	NC_003552.1	82020	84404	-	2385	58667	72247	8078	3666	5384
MA_RS00375	NC_003552.1	84492	84743	-	252	2824	4004	50	36	75
MA_RS00380	NC_003552.1	85487	86197	+	711	1882	1403	37	68	58
MA_RS00385	NC_003552.1	86407	87507	-	1101	6006	4629	558	409	350
MA_RS00390	NC_003552.1	88183	89202	+	1020	2751	2473	821	528	710
MA_RS00395	NC_003552.1	89462	89629	+	168	4415	3269	947	588	638
MA_RS00400	NC_003552.1	89654	90631	+	978	11684	10447	3645	2234	2512
MA_RS00405	NC_003552.1	90829	92013	+	1185	212	126	10	12	6
MA_RS24315	NC_003552.1	92000	94453	+	2454	921	422	80	31	34
MA_RS00415	NC_003552.1	94605	96728	+	2124	3170	2793	831	483	494
