locus_tag,old_locus_tag,rna_step_ratio,current_start_pos,current_codon,rna_best_pos,rna_best_codon,blast_supported_pos,blast_supported_codon,blast_pident,blast_qstart_aa,depth_at_current,depth_at_rna_best,depth_at_blast,depth_70bp_further,reclassification,comment,reevaluation,reevaluation_comment,depth_70bp,depth_150bp,depth_300bp,rise_onset_distance,nearest_neighbor_locus,nearest_neighbor_dist,impact_note,final_classification,extended_rise_flag,final_classification_before,gca_start,gca_agrees_with,revised_confidence,note
MA_RS26685,,521.46,1732508,ATG,1732616,GTG,1732628,TTG,96.491,41,218987.5,779.4,88.1,14.0,アーティファクト,"深度が現行開始位置で218,988(本セット中の他遺伝子の10〜20倍)と異常に高く、70bp先で14まで急減する減衰テールに候補が乗っている。反復配列/マルチマッピング由来の疑似シグナルの可能性が高い。BLAST qstart=41でN末端アラインメントでもない。",,,,,,,,,,アーティファクト,False,アーティファクト,,GCA比較不可,アーティファクト,GCA比較不可(GCA側にマッチする遺伝子なし)
MA_RS15470,MA_2951,222.83,3684313,ATG,3684325,GTG,3684331,GTG,86.512,7,197.5,11.6,0.0,0.0,真の代替候補,RNA-seq候補(現行から12bp上流)とBLAST支持位置がわずか6bp差で独立に近接一致。BLAST同一性86.5%・qstart=7とN末端寄り。70bp先で深度0まで完全に落ちており境界は明瞭。,,,,,,,,,,真の代替候補,False,真の代替候補,3684331,BLASTと一致,真の代替候補,GCA一致状況: BLASTと一致(既存分類を維持)
MA_RS10430,MA_2003,159.66,2485674,ATG,2485704,TTG,2485734,ATG,97.799,21,4440.5,48.4,5.0,1.5,判断保留,現行開始からRNA候補までの深度は1.1%まで単調減衰(明確な新規ピークではない)。BLASTが支持するさらに30bp上流の位置は深度5とほぼ皆無で、BLAST同一性は97.8%と高いにもかかわらず転写証拠を欠く。上流への延長自体は両者が示唆するが、具体的にどこまでかは決められない。,判断保留のまま,候補位置の残存深度が現行の1.1%と薄く、単調減衰テールの一部である可能性を否定できない。,,,,,,,,判断保留,False,判断保留,2485734,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS20445,MA_3916,106.09,4815215,ATG,4815206,GTG,4815179,ATG,96.491,13,597.2,48.4,4.0,3.2,判断保留,RNA候補位置(現行から9bp)には深度48(8.1%)の残存シグナルがあるが、BLASTが支持するさらに27bp先の位置は深度4でほぼ無転写。BLAST同一性96.5%は高く偽陽性とも考えにくく、両候補のどちらとも決めがたい。,対象外(BLASTは一定の独立証拠を持つ),"BLAST qstart=13・同一性96.491%は「真の代替候補」群の実測範囲(qstart<=19, pident>=86.5%)からは外れないか際どく、RNA単独証拠への格下げは行わない。RNA-BLAST間の位置不一致(4815179 vs 4815206)自体が保留理由。",,,,,,,,判断保留,False,判断保留,4815179,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS07375,MA_1421,45.23,1689517,TTG,1689634,ATG,1689646,ATG,95.556,46,9106.9,323.4,16.8,27.0,アーティファクト,現行開始位置の深度が9107と非常に高発現の遺伝子で、70bp先でも深度27残るなだらかな減衰テール。BLAST qstart=46と大きくN末端アラインメントではないため、位置が近い(RNA-BLAST間12bp)のは偶然の可能性が高い。,,,,,,,,,,アーティファクト,False,アーティファクト,1689646,BLASTと一致,アーティファクト,要再検討(両論併記): GCAはBLASTと一致。既存のアーティファクト判定理由(反復配列/減衰テール等)と矛盾しないか要確認
MA_RS23000,MA_4400,45.07,5434151,ATG,5434160,GTG,5434163,ATG,93.525,5,599.5,176.0,76.9,9.5,真の代替候補,RNA候補とBLAST支持位置がわずか3bp差で一致。BLAST同一性93.5%・qstart=5と強い独立証拠。深度も現行の29.4%が残った上で70bp先には9まで落ちており、短い延長として妥当性が高い。,,,,,,,,,,真の代替候補,False,真の代替候補,5434163,BLASTと一致,真の代替候補,GCA一致状況: BLASTと一致(既存分類を維持)
MA_RS03995,MA_0764,37.08,897256,TTG,897241,ATG,897175,TTG,87.368,3,190.0,7.2,3.0,3.2,判断保留,RNA深度は現行の3.8%、70bp先で44%。BLAST支持位置とは66bp差(同一性87.4%、qstart=3)。RNA・BLASTの候補が食い違い、どちらか一方に確定する根拠が不足。,対象外(BLASTは一定の独立証拠を持つ),"BLAST qstart=3・同一性87.368%は「真の代替候補」群の実測範囲(qstart<=19, pident>=86.5%)からは外れないか際どく、RNA単独証拠への格下げは行わない。RNA-BLAST間の位置不一致(897175 vs 897241)自体が保留理由。",,,,,,,,判断保留,False,判断保留,897175,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS28080,,32.19,2083217,ATG,2083118,TTG,2082998,ATG,96.491,74,14726.2,1383.5,256.5,95.2,アーティファクト,BLASTのqstart=74・同一性96.5%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の9.4%(70bp先で7%まで減衰)。,,,8166.6,64.6,479.9,300.0,MA_RS09015,722.0,既存のアーティファクト判定と整合的(むしろ追加の傍証)。分類への影響なし。,アーティファクト,True,アーティファクト,,GCA比較不可,アーティファクト,GCA比較不可(GCA側にマッチする遺伝子なし)
MA_RS24755,MA_3293,26.82,4062907,ATG,4062862,TTG,4062850,ATG,46.972,99,1182.9,190.1,24.1,18.0,判断保留,BLASTのqstart=99・同一性47.0%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の16.1%(70bp先で9%まで減衰)。,判断保留のまま,"現行開始+70/150/300bpの拡張プロファイルで、隣接遺伝子(MA_RS17175, 1006bp先)に到達するよりかなり手前の150bp地点で説明のつかない深度再上昇があり、この領域が本当に静穏な遺伝子間領域か疑わしい。",22.6,41.4,703.5,150.0,MA_RS17175,1006.0,判断保留のまま(Task Aのreevaluationで個別に反映済み)。,判断保留,True,判断保留,4062850,BLASTと一致,中確信度相当(GCA旧アノテーションがBLAST支持位置と一致、決着提案),GCAがBLAST支持位置と一致したため決着を提案
MA_RS00795,MA_0150,15.86,178886,ATG,178775,TTG,178739,ATG,94.074,50,1579.0,145.8,7.1,5.9,アーティファクト,BLASTのqstart=50・同一性94.1%は極めて弱く、実質的に独立支持とみなし難い。RNA深度は現行の9.2%(70bp先で4%まで減衰)。,,,917.7,6.6,33.9,300.0,MA_RS00790,1713.0,既存のアーティファクト判定と整合的(むしろ追加の傍証)。分類への影響なし。,アーティファクト,True,アーティファクト,178886,現行(GCF)と一致,アーティファクト,GCAはBLAST/RNA候補と一致せず、アーティファクト判定を維持
