locus_tag,old_locus_tag,現在の開始位置,現在の開始コドン,RNA-seq最有力候補位置,RNA-seq最有力候補コドン,RNA-seqステップ比,BLAST支持位置,BLAST支持コドン,BLAST同一性(%),BLAST_qstart(aa),コメント
MA_RS26685,,1732508,ATG,1732616,GTG,521.46,1732628,TTG,96.491,41,RNA-seq根拠が極めて強い(step比>=50)のにBLASTと不一致 — 最優先で要精査 / BLAST同一性は高い(>=90%) / BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS15470,MA_2951,3684313,ATG,3684325,GTG,222.83,3684331,GTG,86.512,7,RNA-seq根拠が極めて強い(step比>=50)のにBLASTと不一致 — 最優先で要精査
MA_RS10430,MA_2003,2485674,ATG,2485704,TTG,159.66,2485734,ATG,97.79900000000001,21,RNA-seq根拠が極めて強い(step比>=50)のにBLASTと不一致 — 最優先で要精査 / BLAST同一性は高い(>=90%)
MA_RS20445,MA_3916,4815215,ATG,4815206,GTG,106.09,4815179,ATG,96.491,13,RNA-seq根拠が極めて強い(step比>=50)のにBLASTと不一致 — 最優先で要精査 / BLAST同一性は高い(>=90%)
MA_RS07375,MA_1421,1689517,TTG,1689634,ATG,45.23,1689646,ATG,95.556,46,RNA-seq根拠は強め / BLAST同一性は高い(>=90%) / BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS23000,MA_4400,5434151,ATG,5434160,GTG,45.07,5434163,ATG,93.52500000000001,5,RNA-seq根拠は強め / BLAST同一性は高い(>=90%)
MA_RS03995,MA_0764,897256,TTG,897241,ATG,37.08,897175,TTG,87.36799999999999,3,RNA-seq根拠は強め
MA_RS28080,,2083217,ATG,2083118,TTG,32.19,2082998,ATG,96.491,74,RNA-seq根拠は強め / BLAST同一性は高い(>=90%) / BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS24755,MA_3293,4062907,ATG,4062862,TTG,26.82,4062850,ATG,46.972,99,RNA-seq根拠は強め / BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS00795,MA_0150,178886,ATG,178775,TTG,15.86,178739,ATG,94.074,50,RNA-seq根拠は強め / BLAST同一性は高い(>=90%) / BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS16705,MA_3198,3958639,ATG,3958624,GTG,14.92,3958609,TTG,96.52,11,RNA-seq根拠は強め / BLAST同一性は高い(>=90%)
MA_RS12405,MA_2391,2961448,ATG,2961328,TTG,11.61,2961250,TTG,91.617,67,RNA-seq根拠は強め / BLAST同一性は高い(>=90%) / BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS22115,MA_4235,5160168,TTG,5160159,TTG,11.18,5160090,GTG,95.319,27,RNA-seq根拠は強め / BLAST同一性は高い(>=90%)
MA_RS20995,MA_4023,4936904,ATG,4936928,TTG,9.44,4936991,TTG,80.06,30,
MA_RS02285,MA_0436,516253,ATG,516199,ATG,8.91,516193,GTG,95.468,21,BLAST同一性は高い(>=90%)
MA_RS03285,,736513,ATG,736555,TTG,8.43,736660,ATG,83.95099999999999,41,BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS24130,MA_4624,5705824,ATG,5705851,TTG,8.220000000000001,5705863,GTG,83.529,14,
MA_RS17265,MA_3305,4079759,ATG,4079798,ATG,7.78,4079810,TTG,95.28,18,BLAST同一性は高い(>=90%)
MA_RS07220,MA_1393,1659940,ATG,1659964,ATG,7.73,1659973,ATG,96.02800000000001,4,BLAST同一性は高い(>=90%)
MA_RS22175,MA_4247,5170319,GTG,5170262,GTG,7.53,5170253,GTG,94.687,19,BLAST同一性は高い(>=90%)
MA_RS06415,MA_1234,1468138,ATG,1468150,GTG,7.11,1468195,TTG,97.08499999999999,20,BLAST同一性は高い(>=90%)
MA_RS23395,MA_4483,5531741,GTG,5531681,TTG,6.37,5531660,ATG,90.461,28,BLAST同一性は高い(>=90%)
MA_RS17800,,4215701,ATG,4215674,GTG,5.92,4215668,TTG,96.875,12,BLAST同一性は高い(>=90%)
MA_RS08060,MA_1553,1836408,ATG,1836438,TTG,4.32,1836459,ATG,95.575,18,BLAST同一性は高い(>=90%)
MA_RS21155,MA_4053,4972765,GTG,4972777,ATG,4.24,4972792,ATG,96.032,1,BLAST同一性は高い(>=90%)
MA_RS05250,MA_1004,1198131,ATG,1198182,GTG,4.23,1198263,ATG,95.149,45,BLAST同一性は高い(>=90%) / BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS03935,MA_0753,873486,GTG,873477,GTG,4.15,873465,TTG,66.154,76,BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS14355,,3420363,TTG,3420312,GTG,4.15,3420279,ATG,76.923,29,
MA_RS10510,MA_2020,2508974,GTG,2508905,ATG,3.55,2508809,TTG,90.461,56,BLAST同一性は高い(>=90%) / BLAST qstartが大きい(N末端がオルソログと大きくズレ)
MA_RS02100,MA_0399,482086,GTG,482026,ATG,3.18,481978,ATG,90.461,37,BLAST同一性は高い(>=90%)
MA_RS14010,,3334850,ATG,3334892,TTG,3.15,3334913,GTG,93.38200000000001,4,BLAST同一性は高い(>=90%)
MA_RS17095,MA_3276,4042056,ATG,4042077,TTG,3.11,4042089,TTG,80.503,12,
MA_RS12145,MA_2343,2882418,ATG,2882406,ATG,3.09,2882394,ATG,32.203,16,
MA_RS10945,MA_2108,2613066,ATG,2613108,ATG,3.05,2613135,TTG,97.11499999999999,24,BLAST同一性は高い(>=90%)
