locus_tag,old_locus_tag,gene_name,gene_biotype,product,chr,start,end,strand,length_bp,SRR20281608_read_count,SRR20281608_TPM,SRR20281609_read_count,SRR20281609_TPM,SRR20281610_read_count,SRR20281610_TPM,SRR20281611_read_count,SRR20281611_TPM,SRR20280855_read_count,SRR20280855_TPM,SRR20280860_read_count,SRR20280860_TPM,SRR20281612_read_count,SRR20281612_TPM,SRR20281613_read_count,SRR20281613_TPM,SRR20650029_read_count,SRR20650029_TPM,SRR20650030_read_count,SRR20650030_TPM,SRR20650031_read_count,SRR20650031_TPM
MA_RS00005,MA_0001,,protein_coding,,NC_003552.1,266,1510,-,1245,28206,287.5165062208267,21047,240.0944263346932,19478,240.1804498093771,13994,184.1599420552877,16345,164.2534998790696,17959,168.3597087183057,10509,192.66218870370412,11093,216.79696150842022,1443,48.838268070565555,802,27.04740112099652,905,31.88537242816287
MA_RS00010,MA_0003,putP,protein_coding,,NC_003552.1,3805,5349,+,1545,2722,22.3588915477071,2578,23.69821623474214,2351,23.36075039733809,1973,20.92286982287268,1580,12.79462795495264,2072,15.65260529595695,1496,22.100777832557334,1140,17.95353187650633,182,4.96370746943035,92,2.500229462265809,72,2.044166557213982
MA_RS00015,MA_0004,istB,protein_coding,,NC_003552.1,7361,8134,-,774,309,5.066501213830985,367,6.7342049895169,159,3.153688594142736,227,4.805156623414017,208,3.362183658459736,243,3.664297106047656,150,4.423385067065285,121,3.8038023217886976,15,0.8166078925238404,19,1.0307021102237506,10,0.5667236094773906
MA_RS00020,MA_0005,istA,protein_coding,,NC_003552.1,8131,9375,-,1245,3257,33.20007306109454,3508,40.01763897857669,5051,62.28316315777615,3849,50.65253801420626,16421,165.0172359445826,17696,165.8941703591034,2752,50.452597136986746,1768,34.55305399322879,30,1.0153486085356667,31,1.0454731106619601,31,1.0922061273735348
MA_RS00025,MA_0006,mfnA,protein_coding,,NC_003552.1,9571,10758,+,1188,5671,60.58063746672193,5059,60.4796775990644,4142,53.52495337796704,3207,44.22880146345056,3099,32.63654631230835,3586,35.23053280697946,2277,43.74727831327567,2139,43.80945731920349,882,31.283505991776945,525,18.555103778549576,560,20.67682502456904
MA_RS00030,MA_0007,,protein_coding,,NC_003552.1,11359,12453,+,1095,9302,107.8084614717595,7912,102.6203255442566,7200,100.9441187641862,4884,73.07758514004644,8634,98.64997598053831,11182,119.1875068704529,3560,74.20622313055934,3100,68.88443557039739,3947,151.8854883583986,2238,85.81564834198046,2471,98.98534303200195
MA_RS00035,MA_0008,,protein_coding,,NC_003552.1,13031,14572,+,1542,18820,154.8908908732145,15660,144.2343204181837,14973,149.0689164352298,10298,109.4186029092265,16628,134.9132799610901,21414,162.0834944441031,7568,112.02145230075122,6927,109.30356915814741,3111,85.01174132808693,1790,48.7404104590961,1967,55.95414351736246
MA_RS00040,MA_0009,,protein_coding,,NC_003552.1,14788,15084,-,297,1215,51.91710422998917,910,43.51571979849663,710,36.69987146147427,536,29.56861563381291,576,24.26415059811502,500,19.64893073451169,364,27.973665886749835,302,24.74138590070024,18,2.553755591165465,5,0.7068610963256984,11,1.624607680501853
MA_RS00045,MA_0010,fhcD,protein_coding,,NC_003552.1,15444,16337,-,894,6520,92.55517562452954,5104,81.08385261192252,4909,84.29817199845607,3884,71.18104408150859,2689,37.63157039333285,3446,44.98866654900402,2718,69.39311494338095,2831,77.05057430333966,1099,51.79924721744849,749,35.17748802258177,751,36.84806480708733
MA_RS00050,MA_0011,,protein_coding,,NC_003552.1,17080,17538,-,459,1812,50.09981706667364,1495,46.25830718075481,1276,42.67766328361663,1204,42.97703527811876,989,26.95768937468272,1236,31.42904261957893,796,39.58264681712695,702,37.21328046848602,39,3.580265191535896,28,2.5613319725684125,41,3.9181714647397627
