locus_tag,old_locus_tag,current_start_pos,single_evidence_source,single_evidence_pos,gca_start,gca_agrees_with,revised_confidence,blast_pident_at_gca,blast_qstart_at_gca,rna_step_ratio_at_gca,orf_valid_at_gca,orf_note,reclassification
MA_RS00290,MA_0056,68403,BLAST,68286,68394,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),98.529,4,0.89,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS00420,MA_0081,97563,BLAST,97554,97659,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,0.96,False,候補位置のコドンが非正準(CTG),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS00630,MA_0120,146253,BLAST,146262,146379,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.05,False,候補位置のコドンが非正準(ATC),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS00655,MA_0125,151346,BLAST,151304,151394,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.322,1,1.66,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS01225,MA_0228,274729,BLAST,274744,274654,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),41.538,33,1.36,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS01355,MA_0254,308860,BLAST,308869,308845,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),95.391,1,1.4,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS01620,MA_0304,362830,BLAST,362731,362797,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.18,12,0.86,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS01745,MA_0329,386206,BLAST,386218,386200,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,0.93,False,候補位置のコドンが非正準(ATA),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS01975,MA_0377,442881,BLAST,442818,442932,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.08,False,候補位置のコドンが非正準(ATC),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS02350,MA_0449,528705,BLAST,528675,528684,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),87.857,8,1.36,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS02495,MA_0477,557862,BLAST,557835,557853,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ),93.496,4,1.93,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS24350,MA_0488,567850,BLAST,567841,567952,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),50.0,251,1.2,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS02610,MA_0502,584723,BLAST,584567,584615,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),63.348,1,1.01,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS03100,MA_0591,695536,BLAST,695377,695452,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),90.625,29,1.07,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS03295,MA_0626,737081,BLAST,737066,737183,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),93.939,1,1.57,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS03435,MA_0653,767242,BLAST,767206,767419,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),93.881,1,1.02,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS03555,MA_0677,793566,BLAST,793527,793548,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),86.957,7,0.78,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS04135,MA_0792,924438,BLAST,924468,924474,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),93.498,13,1.1,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS04160,MA_0797,929260,BLAST,929347,929296,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),92.437,13,0.82,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS04955,MA_0953,1133958,BLAST,1133988,1134066,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),97.035,37,0.84,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS05045,MA_0969,1155621,BLAST,1155618,1155555,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),94.57,23,1.11,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS28435,MA_0998,1189519,BLAST,1189345,1189417,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),90.0,106,0.79,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS05295,MA_1013,1209825,BLAST,1209876,1209762,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.09,False,候補位置のコドンが非正準(CTG),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS05575,MA_1069,1281584,BLAST,1281365,1281329,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),,,1.11,False,候補位置のコドンが非正準(ATA),中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS05890,MA_1131,1339430,BLAST,1339421,1339451,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),91.977,1,1.09,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS24405,MA_1178,1398528,BLAST,1398522,1398558,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),55.745,1,0.9,True,妥当,高確信度相当への格上げ(新規BLAST証拠がGCA提案位置を支持)
MA_RS06135,MA_1179,1399970,BLAST,1399961,1399955,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),33.9,6,0.89,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
MA_RS06210,MA_1194,1422102,BLAST,1422069,1421985,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ),92.558,40,0.88,True,妥当,中確信度のまま(新規証拠もGCA提案位置を支持せず)
