# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "locus_tag" "-a" "/home/nyako/projects/ProteinHunter/data/databases/target/methanosarcina_acetivorans/ncbi_dataset/data/GCF_000007345.1/genomic.gff" "-o" "counts/counts.txt" "-T" "8" "bam/SRR20281608.sorted.bam" "bam/SRR20281609.sorted.bam" "bam/SRR20281610.sorted.bam" "bam/SRR20281611.sorted.bam" "bam/SRR20280855.sorted.bam" "bam/SRR20280860.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR20281608.sorted.bam	bam/SRR20281609.sorted.bam	bam/SRR20281610.sorted.bam	bam/SRR20281611.sorted.bam	bam/SRR20280855.sorted.bam	bam/SRR20280860.sorted.bam
MA_RS00005	NC_003552.1	266	1510	-	1245	28206	21047	19478	13994	16345	17959
MA_RS00010	NC_003552.1	3805	5349	+	1545	2722	2578	2351	1973	1580	2072
MA_RS00015	NC_003552.1	7361	8134	-	774	309	367	159	227	208	243
MA_RS00020	NC_003552.1	8131	9375	-	1245	3257	3508	5051	3849	16421	17696
MA_RS00025	NC_003552.1	9571	10758	+	1188	5671	5059	4142	3207	3099	3586
MA_RS00030	NC_003552.1	11359	12453	+	1095	9302	7912	7200	4884	8634	11182
MA_RS00035	NC_003552.1	13031	14572	+	1542	18820	15660	14973	10298	16628	21414
MA_RS00040	NC_003552.1	14788	15084	-	297	1215	910	710	536	576	500
MA_RS00045	NC_003552.1	15444	16337	-	894	6520	5104	4909	3884	2689	3446
MA_RS00050	NC_003552.1	17080	17538	-	459	1812	1495	1276	1204	989	1236
MA_RS00055	NC_003552.1	17684	18310	-	627	2023	2006	1283	985	1295	1606
MA_RS00060	NC_003552.1	18403	19551	-	1149	1518	1314	852	751	893	1046
MA_RS00065	NC_003552.1	19622	21523	-	1902	1889	1725	1027	1043	1040	1045
MA_RS00070	NC_003552.1	21713	22783	-	1071	3072	2145	1875	1773	913	1383
MA_RS00075	NC_003552.1	23127	23492	-	366	3507	2892	2125	2388	2142	1887
MA_RS26355	NC_003552.1	24658	25065	+	408	1694	2090	940	665	2727	4260
MA_RS00090	NC_003552.1	25197	25577	+	381	5169	5763	4273	3630	6113	9772
MA_RS00095	NC_003552.1	25854	27983	+	2130	19368	15674	13633	10250	13321	16172
MA_RS00100	NC_003552.1	28098	28652	+	555	2255	2290	2360	1848	3399	4577
MA_RS00105	NC_003552.1	28677	30131	+	1455	2501	2142	2106	1457	1053	2027
MA_RS00110	NC_003552.1	30256	30723	+	468	1820	1538	1485	1061	975	1114
MA_RS00115	NC_003552.1	31065	32102	+	1038	4066	2876	2052	1456	1405	1540
MA_RS00120	NC_003552.1	32254	33018	+	765	4878	4375	3434	2624	3919	4321
MA_RS00125	NC_003552.1	33066	33890	+	825	2258	2227	2282	2055	1811	2738
MA_RS00130	NC_003552.1	34650	35105	+	456	1983	1610	1196	979	2118	1543
MA_RS00135	NC_003552.1	35473	36759	+	1287	217	198	205	159	219	247
MA_RS00145	NC_003552.1	37882	39249	-	1368	25407	16769	10898	8520	5184	9335
MA_RS00155	NC_003552.1	40272	41054	-	783	6348	5650	5434	3718	6804	5531
MA_RS00160	NC_003552.1	41309	42199	-	891	4971	4811	4654	3858	2103	2322
MA_RS00165	NC_003552.1	42196	43407	-	1212	10487	9351	8255	7120	4848	6233
MA_RS00170	NC_003552.1	43407	43667	-	261	803	601	333	317	270	296
MA_RS00175	NC_003552.1	43664	44212	-	549	5562	4321	3197	3227	2369	2595
